Feedstock,Feedstock코드,Origin,SHFT 영향성,API,Sulfur %,Nitrogen ppm,MCRT wt. %,Ni ppm,V ppm,Na ppm,Fe ppm,Ca ppm,ASP(C7) wt. %,V(100) cSt.
Banoco Arabian Medium,BAM,Saudi Arabia,0.4474563602744373,5.2,5.6,2786.0,27.0,40.2,101.1,2.2,1.5,3.7,13.3,16671.0
Qatar Marine,QTM,Qatar,0.43170440427733775,3.9,4.6,3738.0,24.7,59.0,153.5,11.0,11.4,1.2,11.8,18594.0
Mars,MRS,Louisiana,0.42421270209824874,2.7,4.4,2963.0,25.0,83.0,218.1,23.1,23.8,35.1,14.0,77862.0
Basrah Heavy,BAV,Iraq,0.41734878204393555,-0.7,6.6,3927.0,29.2,69.3,266.4,12.2,9.8,12.7,21.0,355480.0
Al Shaheen,ALS,Qatar,0.41174491272955727,5.1,5.0,2946.0,21.1,40.1,118.1,0.0,5.7,0.5,7.9,6903.0
Kuwait South Ratqa,KSR,Kuwait,0.3971856448378126,-1.4,7.2,2557.0,30.4,62.0,219.4,5.6,4.0,3.0,18.7,414375.0
U-Zakum,ZKU,U.A.E.,0.3947183516990798,4.7,4.4,3408.0,24.6,52.5,56.0,6.7,2.6,0.7,8.8,4167.0
Doba Blend,DOB,Indonesia,0.38496243983084355,15.2,0.2,3550.0,12.4,41.5,0.2,2.2,24.4,319.7,0.9,708.0
Kuwait Light Crude,KLC,Kuwait,0.3513091936250803,3.9,5.5,3464.0,23.3,37.0,116.5,2.2,4.0,0.0,12.6,18110.0
Arabian Light,ALT,Saudi Arabia,0.34587338099078957,4.0,4.5,3356.0,26.3,28.4,129.7,0.0,5.6,14.0,8.1,8047.0
Kuwait,KWA,Kuwait,0.34054164300470163,3.1,5.7,3682.0,25.5,41.1,140.4,1.9,4.8,0.0,14.9,30216.0
Arabian Heavy,AHY,Saudi Arabia,0.3361320021049095,0.9,6.2,3646.0,28.8,47.7,145.3,0.0,2.6,0.1,20.3,105271.0
Palawan Light,PLW,Phillipines,0.26537387749687114,1.0,5.9,3268.0,30.4,19.2,28.0,11.9,7.9,0.8,9.7,92359.0
Walio,WAL,Indonesia,0.2620958324582502,0.8,3.0,8151.0,25.8,104.9,127.0,0.7,12.7,14.9,12.7,15982.0
Arabian Medium,ARM,Saudi Arabia,0.24968354428789352,3.1,5.5,3564.0,25.6,53.0,160.5,7.7,9.1,25.0,13.0,29884.0
Basrah Light,BAS,Iraq,0.21447700412569823,3.8,5.9,4676.0,23.9,45.5,163.7,0.0,3.5,0.0,8.0,8313.0
Cold Lake,CLK,Canada,0.19288808618080128,0.3,6.1,6361.0,27.3,115.2,299.9,7.2,5.3,1.5,24.1,69348.0
Ratawi,RAT,Neutral Zone,0.18843142011025324,0.8,6.4,3824.0,30.1,54.6,116.3,13.4,8.8,7.0,21.5,59677.0
Bitumen Mixture_Exxon(Singapore),BMX,Unknown,0.15959224561917792,3.3,4.9,3595.0,27.7,48.0,152.6,15.8,26.7,58.8,11.9,9053.0
Pazflor,PZF,Angola,0.14036438251703745,7.6,0.9,7037.0,21.2,94.2,37.0,211.7,22.8,42.7,6.0,8810.0
Das Blend,DAS,U.A.E.,-0.03047109750050808,9.1,3.3,2407.0,16.3,5.3,14.9,53.8,0.1,156.7,1.6,606.0
Basrah Medium,BMT,Iraq,-0.07168884736948077,1.1,6.5,3498.0,26.5,57.8,210.9,26.1,11.0,53.4,17.6,50415.0
IRAQI SRFO(HS),I$H,Iraq,-0.1509504201838042,2.9,6.1,2629.0,25.7,38.6,123.0,78.4,2.4,16.3,9.1,11333.0
Al Rayyan,ALR,Qatar,-0.2654533063820745,1.6,5.9,3257.0,26.1,65.5,133.6,74.2,9.3,101.1,18.6,73595.0
